tocr_id,tocr_name,articles,current,suggested,from_cdosgame,from_famitsu,sources,source_ids,unknown,risk,shared_with
cmtpl0fs406x504jvkik3ll8e,BRANDISH VT,1,,WIN,WIN,,cdg-1800,cdg-1800,,靠別名對上,
cmtzt635f00eq0agm84p4o1jh,BRAVELY DEFAULT,1,,3DS,,3DS,VOL.381 VOL.398 VOL.400 VOL.407,索引:bravelydefault,,,
cmsvpx5gq002t04ld8a0iiorc,Battle Chess,1,,DOS,DOS,,cdg-1162,cdg-1162,,靠別名對上、來源同時給了別筆(1),決戰西洋棋
cmta069vv000a04jrica6u0n9,Battle Isle,1,,DOS,DOS,,cdg-4024,cdg-4024,,靠別名對上、來源同時給了別筆(1),狂島浴血
cmsvpbm2r000j04jvov4svnzl,Block Out,1,,DOS,DOS,,cdg-0746,cdg-0746,,靠別名對上,
cmtpjz2kn001y04jvieh7swop,Bridge Master,1,,DOS,DOS,,cdg-4629,cdg-4629,,靠別名對上、來源同時給了別筆(1),橋牌高手
cmsybi8ap000e04l2f85a4cf1,Buck Rogers: Countdown to Doomsday,1,,DOS,DOS,,cdg-3994,cdg-3994,,靠別名對上、來源同時給了別筆(1),拯救地球
cmtpkfr8r02bd04jvociek9ow,CANNON FODDER,1,,DOS,DOS,,cdg-4165,cdg-4165,,靠別名對上,
cmswuudsw000m04l4iga9g33o,CODENAME: ICEMAN,1,,DOS,DOS,,cdg-1574,cdg-1574,,靠別名對上、來源同時給了別筆(1),代碼：冰人
cmtzt60s800dh0agm3zkbcxpb,CONCEPTION 產子救世錄,1,,PSP,,PSP,VOL.361 VOL.379 VOL.381,索引:conception產子救世錄,,,
cmt1hzs5g001q04ldfxy8np7x,Castle of Dr. Brain,1,,DOS,DOS,,cdg-4599,cdg-4599,,靠別名對上、來源同時給了別筆(1),天才智多星
cmtpk1s5h00hy04jvlj2v5lme,CastleS II: Siege & Conquest,1,,DOS,DOS,,cdg-1959,cdg-1959,,靠別名對上,
cmsxqcbos005f04l40yj9qhte,Chamber of the Sci-Mutant Priestess,1,,DOS,DOS,,cdg-4572,cdg-4572,,靠別名對上、來源同時給了別筆(1),異形神殿
cmtztly73001j0agmnf1e8qry,Chronobelt -Schwarz Oath-,1,,PSP,,PSP,VOL.381,索引:chronobeltschwarzoath,,,
cmt03mnej001a04l5reu6of9r,Chuck Yeager's Air Combat,2,,DOS,DOS,,cdg-4596,cdg-4596,,靠別名對上、來源同時給了別筆(1),空中英雄長空會戰 / 空中英雄－長空會戰
cmsx2w995005204ld5x8nrcl6,Cloud Kingdoms,1,,DOS,DOS,,cdg-2657,cdg-2657,,靠別名對上、來源同時給了別筆(1),雲國小精靈
cmtplycr50f4604jvw8c9q5lq,Come on baby,2,,WIN,WIN,,cdg-5098,cdg-5098,,靠別名對上,
cmta069xr000j04jrg9xi4k2q,Conflict: Korea,1,,DOS,DOS,,cdg-4022,cdg-4022,,靠別名對上、來源同時給了別筆(1),戰爭風雲錄：韓戰
cmta06a6d001v04jrvben362i,Conflict: Middle East,1,,DOS,DOS,,cdg-4609,cdg-4609,,靠別名對上、來源同時給了別筆(1),戰爭風雲錄：中東戰爭
cmtpkk6c9035s04jv7j9yhhjw,Creature Shock,1,,DOS,DOS,,cdg-5249,cdg-5249,,靠別名對上、來源同時給了別筆(1),異星特警
cmtzt4lrw00240agmpaf438i1,DISSIDIA duodecim FINAL FANTASY,3,,PSP,,PSP,VOL.316 VOL.321 VOL.324 VOL.326 VOL.328 VOL.329 VOL.330 VOL.331,索引:dissidiaduodecimfinalfantasy,,,
cmu097t59002d0agm8dewjgzo,DJ MAX PORTABLE: BLACK SQUARE,1,,PSP,,PSP,VOL.367,索引:djmaxportableblacksquare,,,
