bucket,cdg_id,cdg_title,year,cdg_platform,cdg_images,tocr_id,tocr_name,articles,years,tocr_platforms,status,decision
B 一中一西,cdg-4023,長槍之役,1990,DOS,2,cmsybv6j100ba04l2vb7yh4o2,長槍之役,3,1991–1991,,要判,
B 一中一西,cdg-4023,長槍之役,1990,DOS,2,cmsxqcbp7005j04l46e0pxwj2,War of the Lance,1,1990–1990,,要判,
B 一中一西,cdg-4024,狂島浴血,1991,DOS,0,cmt9rt6ig001604jstkmtnnbu,狂島浴血,5,1992–1992,,要判,
B 一中一西,cdg-4024,狂島浴血,1991,DOS,0,cmta069vv000a04jrica6u0n9,Battle Isle,1,1992–1992,,要判,
B 一中一西,cdg-4147,聖戰物語,1997,DOS,0,cmtpl556o085004jvghsapogz,聖戰物語,2,1997–1997,,要判,
B 一中一西,cdg-4147,聖戰物語,1997,DOS,0,cmtpkyu1x06j404jvs9et5huj,Duel Succession,1,1996–1996,,要判,
B 一中一西,cdg-4183,英雄傳奇3：戰火焚生錄,1992,DOS,2,cmtpk1s8q00iw04jvi49k9nas,Quest for Glory III: WAGES OF WAR,1,1993–1993,,要判,
B 一中一西,cdg-4183,英雄傳奇3：戰火焚生錄,1992,DOS,2,cmta1ag4b004604jwuo0kzbby,英雄傳奇3,0,,,要判,
B 一中一西,cdg-4195,死亡潛航2,1990,DOS,4,cmsyew086002a04l14umhidif,死亡潛航 II,2,1991–1991,,要判,
B 一中一西,cdg-4195,死亡潛航2,1990,DOS,4,cmt1hzs9l002s04ld75z9h3m5,死亡潛航II,1,1992–1992,,要判,
B 一中一西,cdg-4195,死亡潛航2,1990,DOS,4,cmsxqcbq0005r04l4q7pbv475,Silent Service II,2,1990–1990,,要判,
B 一中一西,cdg-4241,極道梟雄,1993,DOS,0,cmtpkdgp201so04jvzw2gsnr3,極道梟雄,5,1994–1994,,要判,
B 一中一西,cdg-4241,極道梟雄,1993,DOS,0,cmtpk5dv5011d04jvb8e1jumw,SYNDICATE,2,1993–1993,,要判,
B 一中一西,cdg-4241,極道梟雄,1993,DOS,0,cmtpkfr8k02bc04jvdzr4mpwb,極道梟雄資料片—美洲風暴,1,1994–1994,,要判,
B 一中一西,cdg-4245,步步殺機,1989,DOS,2,cmsvud7u9000q04l64hu4ot5e,步步殺機,4,1989–1991,,要判,
B 一中一西,cdg-4245,步步殺機,1989,DOS,2,cmsvud7ug000s04l6tsd0mibd,RICK DANGEROUS,1,1989–1989,,要判,
B 一中一西,cdg-4255,異域寶藏,1992,DOS,3,cmta06af7003h04jrv0axn03x,異域寶藏,1,1992–1992,,要判,
B 一中一西,cdg-4255,異域寶藏,1992,DOS,3,cmta069wn000e04jr6xkw53ik,Treasures of the Savage Frontier,1,1992–1992,,要判,
B 一中一西,cdg-4272,風雲霸主,1990,DOS,3,cmta06a0t000z04jrjwsjizfc,風雲霸主,6,1992–1993,,要判,
